H (A/m),T (K),File,cluster_ae,cluster_vae
71619.72435236486,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0010.vti,3,1
79577.47150262764,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0011.vti,3,1
87535.2186528904,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0012.vti,3,1
95492.96580315314,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0013.vti,3,1
103450.7129534159,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0014.vti,3,1
111408.4601036787,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0015.vti,0,1
119366.2072539414,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0016.vti,0,1
127323.9544042042,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0017.vti,0,1
135281.701554467,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0018.vti,0,1
143239.4487047297,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0019.vti,0,1
151197.1958549925,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0020.vti,0,1
159154.9430052553,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0021.vti,0,1
167112.690155518,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0022.vti,0,1
175070.4373057808,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0023.vti,0,1
183028.1844560436,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0024.vti,0,1
190985.9316063063,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0025.vti,0,1
198943.6787565691,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0026.vti,0,1
206901.4259068318,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0027.vti,0,1
214859.1730570946,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0028.vti,0,1
222816.9202073574,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0029.vti,0,1
230774.6673576201,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0030.vti,0,1
238732.4145078829,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0031.vti,0,1
246690.1616581456,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0032.vti,0,1
254647.9088084084,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0033.vti,0,1
262605.6559586712,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0034.vti,0,1
270563.4031089339,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0035.vti,0,1
278521.1502591967,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0036.vti,0,1
286478.8974094595,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0037.vti,0,1
294436.6445597222,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0038.vti,0,1
302394.391709985,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0039.vti,0,1
310352.1388602477,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0040.vti,0,1
318309.8860105106,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0041.vti,0,1
326267.6331607733,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0042.vti,0,1
334225.380311036,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0043.vti,0,1
